epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,23.8386,1.05257,0.94512,0.97618,0.59906,0.72222,0.7199,0.62603,1.25072,1.98736,1.40496,0.000896127,0.000896127,0.000896127
65,24.2007,0.91474,0.80612,0.96077,0.59906,0.72222,0.7199,0.62603,1.25072,1.98736,1.40496,0.000892928,0.000892928,0.000892928
66,24.5764,0.93947,0.79758,0.95656,0.60359,0.72222,0.72033,0.58197,1.27355,1.87478,1.38916,0.000889687,0.000889687,0.000889687
67,24.9213,0.89963,0.82915,0.94557,0.60359,0.72222,0.72033,0.58197,1.27355,1.87478,1.38916,0.000886404,0.000886404,0.000886404
68,25.2612,0.98735,0.88542,0.91174,0.60634,0.72222,0.72035,0.61515,1.32747,1.78649,1.39284,0.000883079,0.000883079,0.000883079
69,25.6114,0.97954,0.74824,0.94113,0.60634,0.72222,0.72035,0.61515,1.32747,1.78649,1.39284,0.000879713,0.000879713,0.000879713
70,25.9631,0.94585,0.85296,0.9271,0.67172,0.72222,0.63762,0.50752,1.44791,2.02,1.46691,0.000876305,0.000876305,0.000876305
71,26.318,0.98032,0.84244,0.98291,0.67172,0.72222,0.63762,0.50752,1.44791,2.02,1.46691,0.000872857,0.000872857,0.000872857
72,26.6609,0.95328,0.7843,0.91321,0.69266,0.69811,0.72004,0.61487,1.35363,2.00153,1.39231,0.000869368,0.000869368,0.000869368
73,27.0276,1.09608,0.97043,1.031,0.69266,0.69811,0.72004,0.61487,1.35363,2.00153,1.39231,0.000865839,0.000865839,0.000865839
74,27.3788,0.87128,0.81278,0.90188,0.65848,0.72222,0.71986,0.58717,1.40645,1.97631,1.4104,0.000862271,0.000862271,0.000862271
75,27.7181,1.09686,0.82047,0.93071,0.65848,0.72222,0.71986,0.58717,1.40645,1.97631,1.4104,0.000858664,0.000858664,0.000858664
76,28.0632,1.02521,0.83231,0.97192,0.67969,0.66018,0.72035,0.59823,1.40987,1.86601,1.42811,0.000855018,0.000855018,0.000855018
77,28.4221,1.04033,0.79043,0.94242,0.67969,0.66018,0.72035,0.59823,1.40987,1.86601,1.42811,0.000851333,0.000851333,0.000851333
78,28.7822,0.83672,0.73056,0.9004,0.55272,0.61111,0.6835,0.56481,1.38852,1.80067,1.42788,0.000847611,0.000847611,0.000847611
79,29.1353,0.97532,0.89173,0.93838,0.55272,0.61111,0.6835,0.56481,1.38852,1.80067,1.42788,0.000843851,0.000843851,0.000843851
80,29.494,0.97849,0.87752,0.97668,0.67948,0.66532,0.55424,0.44851,1.3402,1.6629,1.37635,0.000840054,0.000840054,0.000840054
81,29.8366,0.96063,0.7877,0.94641,0.67948,0.66532,0.55424,0.44851,1.3402,1.6629,1.37635,0.00083622,0.00083622,0.00083622
82,30.1916,0.89011,0.80742,0.94343,0.71875,0.64608,0.55443,0.42627,1.27315,1.62513,1.31718,0.000832349,0.000832349,0.000832349
83,30.5456,0.91499,0.73073,0.93489,0.71875,0.64608,0.55443,0.42627,1.27315,1.62513,1.31718,0.000828443,0.000828443,0.000828443
84,30.8901,0.94236,0.75637,0.91476,0.63447,0.68009,0.49809,0.37377,1.32889,1.78686,1.35802,0.000824502,0.000824502,0.000824502
85,31.2243,0.9039,0.81273,0.97611,0.63447,0.68009,0.49809,0.37377,1.32889,1.78686,1.35802,0.000820525,0.000820525,0.000820525
86,31.5872,0.97687,0.71473,0.94026,0.53073,0.64961,0.49816,0.3766,1.36966,2.04448,1.40855,0.000816514,0.000816514,0.000816514
87,31.9261,0.78285,0.69921,0.93784,0.53073,0.64961,0.49816,0.3766,1.36966,2.04448,1.40855,0.000812468,0.000812468,0.000812468
88,32.2875,0.82327,0.67233,0.89429,0.40859,0.61111,0.4616,0.3952,1.33992,2.21911,1.40137,0.000808389,0.000808389,0.000808389
89,32.6216,1.01305,0.82556,1.03532,0.40859,0.61111,0.4616,0.3952,1.33992,2.21911,1.40137,0.000804277,0.000804277,0.000804277
90,32.96,0.96776,0.76624,0.93716,0.63121,0.47183,0.4987,0.43501,1.29549,2.15716,1.376,0.000800131,0.000800131,0.000800131
91,33.2975,0.93498,0.70177,0.9148,0.63121,0.47183,0.4987,0.43501,1.29549,2.15716,1.376,0.000795954,0.000795954,0.000795954
92,33.6634,1.02021,0.75572,0.91685,0.29705,0.61111,0.65373,0.55519,1.36401,2.16642,1.43592,0.000791744,0.000791744,0.000791744
93,34.0172,0.92053,0.74594,0.89911,0.29705,0.61111,0.65373,0.55519,1.36401,2.16642,1.43592,0.000787503,0.000787503,0.000787503
94,34.3702,0.82136,0.80499,0.90841,0.84601,0.5,0.66471,0.59824,1.36051,2.25436,1.48454,0.000783231,0.000783231,0.000783231
95,34.716,1.00023,0.69809,0.93576,0.84601,0.5,0.66471,0.59824,1.36051,2.25436,1.48454,0.000778929,0.000778929,0.000778929
96,35.0646,0.90287,0.70892,0.88809,0.60484,0.61111,0.66493,0.61496,1.31951,2.14943,1.47933,0.000774596,0.000774596,0.000774596
97,35.4025,0.95172,0.77215,0.92587,0.60484,0.61111,0.66493,0.61496,1.31951,2.14943,1.47933,0.000770234,0.000770234,0.000770234
98,35.7857,0.84199,0.71519,0.91368,0.82687,0.61111,0.68339,0.61293,1.28071,2.00607,1.49252,0.000765843,0.000765843,0.000765843
99,36.1177,0.86776,0.76685,0.90801,0.82687,0.61111,0.68339,0.61293,1.28071,2.00607,1.49252,0.000761423,0.000761423,0.000761423
100,36.4694,0.79169,0.77674,0.90331,0.85083,0.72222,0.71964,0.64193,1.24879,1.91858,1.52044,0.000756976,0.000756976,0.000756976
101,36.8366,0.83156,0.67088,0.87891,0.85083,0.72222,0.71964,0.64193,1.24879,1.91858,1.52044,0.0007525,0.0007525,0.0007525
102,37.1966,0.91128,0.7001,0.88984,0.88696,0.72222,0.71972,0.63675,1.25097,1.89749,1.50868,0.000747997,0.000747997,0.000747997
103,37.5212,0.83838,0.68816,0.87517,0.88696,0.72222,0.71972,0.63675,1.25097,1.89749,1.50868,0.000743468,0.000743468,0.000743468
104,37.8804,0.92093,0.69414,0.89224,0.92878,0.71212,0.71975,0.62549,1.17712,1.82054,1.42945,0.000738913,0.000738913,0.000738913
105,38.2146,0.8038,0.60961,0.88844,0.92878,0.71212,0.71975,0.62549,1.17712,1.82054,1.42945,0.000734332,0.000734332,0.000734332
106,38.5756,0.77153,0.72359,0.91724,0.89213,0.70757,0.7199,0.59245,1.20699,1.7991,1.43504,0.000729725,0.000729725,0.000729725
107,38.9174,0.85136,0.5994,0.89196,0.89213,0.70757,0.7199,0.59245,1.20699,1.7991,1.43504,0.000725094,0.000725094,0.000725094
108,39.2652,0.82244,0.64068,0.90316,0.86693,0.6374,0.71991,0.61476,1.16368,1.8667,1.38658,0.000720439,0.000720439,0.000720439
109,39.6034,0.89684,0.71487,0.90768,0.86693,0.6374,0.71991,0.61476,1.16368,1.8667,1.38658,0.000715761,0.000715761,0.000715761
110,39.972,0.95366,0.77861,0.90403,0.7999,0.62202,0.63734,0.56261,1.1935,2.07913,1.39095,0.000711059,0.000711059,0.000711059
111,40.3008,0.88349,0.67275,0.90324,0.7999,0.62202,0.63734,0.56261,1.1935,2.07913,1.39095,0.000706335,0.000706335,0.000706335
112,40.6622,0.75556,0.61178,0.89644,0.79754,0.6273,0.63742,0.58225,1.12756,2.19264,1.34858,0.000701588,0.000701588,0.000701588
113,41.0116,0.89827,0.74601,0.90713,0.79754,0.6273,0.63742,0.58225,1.12756,2.19264,1.34858,0.00069682,0.00069682,0.00069682
114,41.366,0.76324,0.65174,0.91157,0.79442,0.63474,0.63733,0.58216,0.95002,2.07787,1.22775,0.000692031,0.000692031,0.000692031
115,41.6992,0.92484,0.7569,0.90778,0.79442,0.63474,0.63733,0.58216,0.95002,2.07787,1.22775,0.000687222,0.000687222,0.000687222
116,42.0577,0.9392,0.68689,0.90854,0.79182,0.64553,0.71974,0.66457,1.02241,2.003,1.29451,0.000682392,0.000682392,0.000682392
117,42.4088,0.74765,0.65589,0.86288,0.79182,0.64553,0.71974,0.66457,1.02241,2.003,1.29451,0.000677543,0.000677543,0.000677543
118,42.7799,0.86743,0.846,0.94806,0.86401,0.65461,0.71969,0.67552,1.11794,1.95529,1.35782,0.000672675,0.000672675,0.000672675
119,43.1287,0.81738,0.59957,0.90439,0.86401,0.65461,0.71969,0.67552,1.11794,1.95529,1.35782,0.000667789,0.000667789,0.000667789
120,43.481,0.93335,0.65149,0.90236,0.91386,0.72222,0.71969,0.64772,1.06424,1.72735,1.28681,0.000662885,0.000662885,0.000662885
121,43.8328,0.79907,0.66411,0.90245,0.91386,0.72222,0.71969,0.64772,1.06424,1.72735,1.28681,0.000657963,0.000657963,0.000657963
122,44.1909,0.83791,0.64314,0.87216,0.92978,0.72222,0.7196,0.64764,1.05479,1.57456,1.27619,0.000653025,0.000653025,0.000653025
