epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1355.44,0.85975,0.63875,0.9486,0.90627,0.83333,0.84958,0.80391,0.51689,0.51683,1.06832,0.0007987,0.0007987,0.0007987
63,1378.98,0.84649,0.62823,0.94961,0.90436,0.82333,0.84958,0.80837,0.4259,0.63979,1.02069,0.0007954,0.0007954,0.0007954
64,1402.48,0.85021,0.6289,0.94005,0.80556,1,0.93944,0.84037,0.55288,0.53897,1.12728,0.0007921,0.0007921,0.0007921
65,1426.26,0.82892,0.61721,0.94168,0.86797,0.8206,0.85667,0.82389,0.47857,0.68504,1.00439,0.0007888,0.0007888,0.0007888
66,1450.03,0.84968,0.62168,0.94819,1,0.88889,0.9411,0.83752,0.50192,0.46086,0.97384,0.0007855,0.0007855,0.0007855
67,1473.62,0.85652,0.61463,0.94726,0.8706,0.8221,0.87083,0.83453,0.40134,0.39661,0.92583,0.0007822,0.0007822,0.0007822
68,1497.35,0.82784,0.60016,0.94296,1,1,0.995,0.86241,0.56534,0.45448,1.07273,0.0007789,0.0007789,0.0007789
69,1520.93,0.8483,0.61935,0.94593,1,1,0.995,0.86967,0.53911,0.378,1.10175,0.0007756,0.0007756,0.0007756
70,1544.12,0.82245,0.60665,0.93718,0.91667,1,0.995,0.88615,0.43722,0.54336,1.00762,0.0007723,0.0007723,0.0007723
71,1567.85,0.82197,0.60698,0.94197,1,1,0.995,0.87178,0.43195,0.45772,0.99643,0.000769,0.000769,0.000769
72,1592.04,0.84803,0.61426,0.94904,0.9944,0.83333,0.91333,0.86112,0.59493,0.41263,1.12918,0.0007657,0.0007657,0.0007657
73,1616.97,0.8362,0.604,0.93862,1,1,0.995,0.87482,0.53565,0.50115,1.10802,0.0007624,0.0007624,0.0007624
74,1640.67,0.81785,0.59558,0.9378,1,1,0.995,0.8603,0.54091,0.41347,1.09953,0.0007591,0.0007591,0.0007591
75,1664.82,0.8218,0.6019,0.94645,0.99453,0.83333,0.91333,0.86961,0.49242,0.49663,1.15158,0.0007558,0.0007558,0.0007558
76,1688.42,0.82654,0.59419,0.93915,1,1,0.995,0.93597,0.39799,0.45155,1.05013,0.0007525,0.0007525,0.0007525
77,1714.93,0.81675,0.59001,0.93958,0.92534,0.81213,0.85667,0.82653,0.43492,0.81343,1.05395,0.0007492,0.0007492,0.0007492
78,1742.08,0.82417,0.59227,0.94081,0.91667,1,0.995,0.85446,0.48201,0.41394,1.10292,0.0007459,0.0007459,0.0007459
79,1770.81,0.82813,0.59402,0.93925,0.82151,0.81772,0.85667,0.84028,0.35562,0.66181,0.96432,0.0007426,0.0007426,0.0007426
80,1801.33,0.81781,0.58681,0.93813,0.91249,0.83333,0.85667,0.8304,0.47329,0.73131,1.10425,0.0007393,0.0007393,0.0007393
81,1831.4,0.81491,0.57514,0.93551,1,0.99957,0.995,0.93172,0.43532,0.41079,1.02712,0.000736,0.000736,0.000736
82,1861.19,0.80932,0.58624,0.94083,0.88889,1,0.93944,0.89487,0.30612,0.36623,0.91646,0.0007327,0.0007327,0.0007327
83,1891.29,0.80443,0.58895,0.93907,0.9954,1,0.995,0.92076,0.38763,0.32131,1.00887,0.0007294,0.0007294,0.0007294
84,1918.89,0.81742,0.57979,0.9359,0.91634,0.83333,0.87083,0.83242,0.37492,0.65051,0.93325,0.0007261,0.0007261,0.0007261
85,1946.35,0.81292,0.56819,0.93395,0.89391,0.83333,0.87083,0.83453,0.47458,0.5395,1.00166,0.0007228,0.0007228,0.0007228
86,1974.05,0.8056,0.57647,0.93467,1,0.82849,0.91333,0.88258,0.3599,0.77877,0.95123,0.0007195,0.0007195,0.0007195
87,2002.29,0.81162,0.56992,0.93409,0.88591,0.82878,0.87083,0.84179,0.40979,0.61549,0.97186,0.0007162,0.0007162,0.0007162
88,2031.54,0.81374,0.57766,0.93837,0.96685,0.98857,0.995,0.93381,0.47104,0.44729,1.01557,0.0007129,0.0007129,0.0007129
89,2060.52,0.80533,0.57582,0.93427,0.99538,0.83333,0.91333,0.88875,0.33678,0.33577,0.92077,0.0007096,0.0007096,0.0007096
90,2089.62,0.80789,0.56939,0.93122,0.93939,0.83333,0.87083,0.8179,0.41756,0.65029,0.9714,0.0007063,0.0007063,0.0007063
91,2118.72,0.79779,0.5686,0.93165,0.93339,0.83333,0.87083,0.82516,0.38674,0.40501,1.00621,0.000703,0.000703,0.000703
92,2147.09,0.80637,0.58045,0.9323,0.98946,1,0.995,0.94008,0.40295,0.4032,0.99037,0.0006997,0.0006997,0.0006997
93,2169,0.80348,0.57114,0.93165,1,1,0.995,0.92661,0.43699,0.50526,1.01774,0.0006964,0.0006964,0.0006964
94,2190.83,0.80792,0.57366,0.92895,1,1,0.995,0.95143,0.36407,0.3767,0.95409,0.0006931,0.0006931,0.0006931
95,2212.61,0.80118,0.5673,0.93481,1,1,0.995,0.96806,0.35152,0.40935,0.97183,0.0006898,0.0006898,0.0006898
96,2234.66,0.79548,0.57427,0.92928,0.88889,1,0.93944,0.90111,0.38957,0.49011,1.05052,0.0006865,0.0006865,0.0006865
97,2256.61,0.79373,0.5715,0.92805,1,0.83333,0.91333,0.8604,0.54398,0.54936,1.09206,0.0006832,0.0006832,0.0006832
98,2278.44,0.79964,0.56951,0.93309,1,1,0.995,0.87482,0.4484,0.40199,1.04207,0.0006799,0.0006799,0.0006799
99,2300.76,0.7969,0.56577,0.93178,0.83333,1,0.91167,0.86126,0.39041,0.45989,0.91881,0.0006766,0.0006766,0.0006766
100,2322.63,0.79777,0.55985,0.93046,0.9941,1,0.995,0.92582,0.40241,0.40852,1.07071,0.0006733,0.0006733,0.0006733
101,2344.61,0.79281,0.55529,0.92783,0.92491,0.98342,0.995,0.95213,0.39707,0.39918,0.99608,0.00067,0.00067,0.00067
102,2366.22,0.77668,0.55806,0.92579,0.94671,0.83333,0.91333,0.88429,0.43118,0.36089,1.08598,0.0006667,0.0006667,0.0006667
103,2388.01,0.79276,0.55307,0.92925,0.91667,1,0.995,0.8919,0.481,0.44641,1.08666,0.0006634,0.0006634,0.0006634
104,2409.91,0.77937,0.54588,0.92345,1,1,0.995,0.9608,0.31276,0.31679,0.95114,0.0006601,0.0006601,0.0006601
105,2432.03,0.78775,0.57241,0.92937,0.96337,0.99772,0.995,0.93739,0.41284,0.34273,1.01997,0.0006568,0.0006568,0.0006568
106,2453.8,0.7902,0.55363,0.92814,1,1,0.995,0.93387,0.38335,0.35173,0.96902,0.0006535,0.0006535,0.0006535
107,2475.69,0.77529,0.55046,0.92384,0.99678,0.83333,0.91333,0.85107,0.4538,0.46114,1.0657,0.0006502,0.0006502,0.0006502
108,2497.78,0.75976,0.53565,0.91552,1,1,0.995,0.94839,0.42449,0.46456,1.12406,0.0006469,0.0006469,0.0006469
109,2519.66,0.77268,0.5408,0.92287,1,1,0.995,0.93175,0.40441,0.4913,1.02796,0.0006436,0.0006436,0.0006436
110,2541.85,0.76228,0.54043,0.92009,1,1,0.995,0.9608,0.36603,0.28996,1.00554,0.0006403,0.0006403,0.0006403
111,2564.11,0.77157,0.54078,0.91682,0.87938,0.80124,0.87083,0.8179,0.39738,0.42992,1.04288,0.000637,0.000637,0.000637
112,2586.7,0.77998,0.55164,0.92238,1,1,0.995,0.8945,0.39764,0.35628,1.05468,0.0006337,0.0006337,0.0006337
113,2609.35,0.77771,0.54486,0.92681,0.88889,1,0.93944,0.87933,0.3586,0.54122,1.03486,0.0006304,0.0006304,0.0006304
114,2632.07,0.77076,0.54364,0.92215,1,0.83333,0.91333,0.87703,0.47241,0.47236,1.15175,0.0006271,0.0006271,0.0006271
115,2654.51,0.7677,0.53805,0.92165,1,1,0.995,0.90903,0.36855,0.2941,0.9407,0.0006238,0.0006238,0.0006238
116,2676.77,0.75334,0.54417,0.91757,0.9513,0.98564,0.995,0.95378,0.35254,0.36478,0.98322,0.0006205,0.0006205,0.0006205
117,2698.72,0.76664,0.52913,0.91917,0.99435,0.83333,0.91333,0.85573,0.4487,0.45393,1.08322,0.0006172,0.0006172,0.0006172
118,2720.37,0.75199,0.5372,0.91152,1,1,0.995,0.95354,0.38771,0.39558,1.01983,0.0006139,0.0006139,0.0006139
119,2742.37,0.75509,0.53057,0.91568,0.82639,0.99863,0.93944,0.89003,0.4551,0.47244,1.03451,0.0006106,0.0006106,0.0006106
120,2764.82,0.7496,0.53765,0.91639,0.95942,0.99179,0.995,0.94558,0.41168,0.44159,1.05893,0.0006073,0.0006073,0.0006073
121,2786.92,0.75719,0.5286,0.91663,1,0.82914,0.91333,0.88055,0.40426,0.54643,0.96239,0.000604,0.000604,0.000604
122,2808.9,0.76443,0.53106,0.91826,0.97425,0.72222,0.79823,0.7816,0.43662,0.54075,0.9877,0.0006007,0.0006007,0.0006007
123,2830.68,0.76364,0.53175,0.91543,0.9004,0.81887,0.87083,0.80168,0.61541,0.70758,1.22105,0.0005974,0.0005974,0.0005974
124,2852.28,0.76495,0.52857,0.9159,0.99752,0.83333,0.91333,0.87775,0.40863,0.5135,1.05153,0.0005941,0.0005941,0.0005941
125,2874.66,0.74839,0.51835,0.9165,1,0.83333,0.91333,0.89155,0.41254,0.48966,1.02092,0.0005908,0.0005908,0.0005908
126,2897.39,0.74799,0.5261,0.91552,0.89623,0.82035,0.87083,0.84625,0.4028,0.52027,1.10562,0.0005875,0.0005875,0.0005875
127,2919.29,0.75012,0.52575,0.91264,1,0.83333,0.91333,0.86977,0.45838,0.6727,1.1064,0.0005842,0.0005842,0.0005842
128,2941.32,0.74801,0.52792,0.91729,0.99443,0.83333,0.91333,0.88594,0.3952,0.41638,0.95088,0.0005809,0.0005809,0.0005809
129,2963.37,0.74038,0.52115,0.91551,0.99512,0.83333,0.91333,0.87882,0.41291,0.63947,0.98008,0.0005776,0.0005776,0.0005776
130,2985.12,0.75509,0.52694,0.91604,1,0.83333,0.91333,0.86977,0.36061,0.41601,0.93814,0.0005743,0.0005743,0.0005743
131,3006.98,0.74517,0.52209,0.91175,1,0.83333,0.91333,0.85314,0.40578,0.42082,0.9516,0.000571,0.000571,0.000571
132,3029.24,0.73883,0.51463,0.91172,1,0.82277,0.91333,0.8805,0.47089,0.38613,1.04223,0.0005677,0.0005677,0.0005677
133,3050.97,0.74719,0.51996,0.91262,0.90688,0.83176,0.87083,0.84905,0.36821,0.52021,0.97803,0.0005644,0.0005644,0.0005644
134,3072.69,0.74837,0.52114,0.91645,0.80556,1,0.93944,0.87347,0.43101,0.40892,1.05109,0.0005611,0.0005611,0.0005611
135,3094.16,0.74547,0.51687,0.91331,0.99701,0.83333,0.91333,0.87775,0.39472,0.42798,0.99204,0.0005578,0.0005578,0.0005578
136,3116.31,0.75282,0.52106,0.91841,1,0.83333,0.91333,0.87703,0.43775,0.36052,1.02795,0.0005545,0.0005545,0.0005545
137,3138.15,0.7401,0.51496,0.90865,0.99567,0.83333,0.91333,0.85573,0.56474,0.44365,1.13079,0.0005512,0.0005512,0.0005512
138,3159.85,0.7366,0.5161,0.90894,0.94663,0.83333,0.87083,0.84625,0.46936,0.40434,1.10896,0.0005479,0.0005479,0.0005479
139,3181.47,0.72379,0.50435,0.90227,0.92764,0.99262,0.995,0.87306,0.49431,0.33163,1.09555,0.0005446,0.0005446,0.0005446
140,3203.19,0.73218,0.51084,0.90813,1,0.83333,0.91333,0.8604,0.50371,0.33407,1.13855,0.0005413,0.0005413,0.0005413
141,3224.78,0.7364,0.51338,0.90496,0.99471,0.83333,0.91333,0.88055,0.40203,0.29835,1.0438,0.000538,0.000538,0.000538
142,3246.9,0.72947,0.51475,0.91155,0.9944,0.83333,0.91333,0.87236,0.38241,0.38847,0.98758,0.0005347,0.0005347,0.0005347
143,3269.88,0.72992,0.50926,0.90867,1,1,0.995,0.8863,0.47604,0.34658,1.11332,0.0005314,0.0005314,0.0005314
144,3292.19,0.74061,0.50861,0.90767,1,1,0.995,0.8945,0.44328,0.37932,0.96576,0.0005281,0.0005281,0.0005281
145,3314.31,0.71615,0.48851,0.91068,1,1,0.995,0.95354,0.3526,0.28599,0.97554,0.0005248,0.0005248,0.0005248
146,3336.56,0.72084,0.49708,0.90766,0.99678,0.83333,0.91333,0.84754,0.46474,0.51128,1.01973,0.0005215,0.0005215,0.0005215
147,3358.38,0.73102,0.50262,0.91756,0.97531,1,0.995,0.85868,0.40524,0.36485,0.99951,0.0005182,0.0005182,0.0005182
148,3381.08,0.72443,0.50784,0.90864,1,1,0.995,0.90481,0.35303,0.30864,1.05,0.0005149,0.0005149,0.0005149
149,3402.81,0.72059,0.50161,0.90693,1,1,0.995,0.86663,0.45747,0.33597,1.09802,0.0005116,0.0005116,0.0005116
150,3424.27,0.71897,0.50108,0.90509,1,1,0.995,0.86452,0.45857,0.36914,1.07976,0.0005083,0.0005083,0.0005083
151,3445.56,0.71625,0.49538,0.90452,1,0.72222,0.85943,0.84277,0.42318,0.35392,1.02615,0.000505,0.000505,0.000505
152,3467.04,0.7128,0.50689,0.90315,0.99521,0.83333,0.91333,0.88875,0.575,0.40881,1.11486,0.0005017,0.0005017,0.0005017
153,3488.82,0.73168,0.50806,0.90872,0.99259,0.83333,0.91333,0.88032,0.48549,0.41125,1.09327,0.0004984,0.0004984,0.0004984
154,3510.55,0.72389,0.50791,0.9071,0.99433,0.83333,0.91333,0.88875,0.48443,0.32836,1.09257,0.0004951,0.0004951,0.0004951
155,3532.25,0.72751,0.50226,0.90449,1,0.83333,0.91333,0.85314,0.5382,0.3725,1.11276,0.0004918,0.0004918,0.0004918
156,3553.89,0.73207,0.5064,0.90443,1,1,0.995,0.87389,0.44205,0.28681,1.02246,0.0004885,0.0004885,0.0004885
157,3575.8,0.70345,0.48885,0.90353,1,1,0.995,0.90598,0.43587,0.2935,1.00864,0.0004852,0.0004852,0.0004852
158,3597.3,0.72046,0.50521,0.90375,1,1,0.995,0.88208,0.40791,0.31472,1.0352,0.0004819,0.0004819,0.0004819
159,3619.58,0.72357,0.49289,0.90477,1,0.83333,0.91333,0.90607,0.3298,0.31961,0.89851,0.0004786,0.0004786,0.0004786
160,3641.67,0.72872,0.51087,0.90841,1,0.83333,0.91333,0.87492,0.3919,0.30402,0.96473,0.0004753,0.0004753,0.0004753
161,3663.78,0.70481,0.49832,0.90125,1,1,0.995,0.9184,0.39934,0.28301,0.9776,0.000472,0.000472,0.000472
162,3686.11,0.70891,0.4868,0.90262,1,0.83333,0.91333,0.88429,0.46855,0.36821,1.05396,0.0004687,0.0004687,0.0004687
163,3708.75,0.69678,0.48621,0.90587,0.95994,0.83333,0.87083,0.84905,0.51105,0.36422,1.06116,0.0004654,0.0004654,0.0004654
164,3730.98,0.69835,0.49655,0.89906,0.99675,0.83333,0.91333,0.88875,0.51733,0.4079,1.04404,0.0004621,0.0004621,0.0004621
